Name ,Born,Country,Yellow_Cards,Yellow_to_Red_Cards,Red_Cards,Country_ID
Jamel Haimoudi,10/12/1970,Algeria,12,-,-,4
Ravshan Irmatov,9/8/1977,Uzbekistan,14,-,1,263
N??stor Pitana,17/06/1975,Argentina,8,-,-,11
Nicola Rizzoli,5/10/1971,Italy,13,-,-,117
C??neyt ?ak?r,23/11/1976,Turkey,12,-,-,250
Jonas Eriksson,28/03/1974,Sweden,10,-,-,236
Mark Geiger,25/08/1974,United States,-,-,nan,259
Bj?rn Kuipers,28/03/1973,Netherlands,5,-,-,165
Pedro Proen?a,3/11/1970,Portugal,6,-,1,192
Sandro Ricci,28/09/1970,Brazil,8,1,-,31
Marco Rodr??guez,10/11/1973,Mexico,7,-,1,152
Carlos Velasco Carballo,16/03/1971,Spain,8,-,-,222
Ben Williams,14/04/1977,Australia,13,1,1,14
Joel Aguilar,2/7/1975,El Salvador,5,1,-,71
Dr. Felix Brych,3/8/1975,Germany,6,-,1,90
Noumandiez Doue,29/09/1970,Ivory Coast,5,-,1,118
Milorad Ma?i?,23/03/1973,Serbia,3,-,1,204
Enrique Osses,26/05/1974,Chile,6,-,-,46
Wilmar Rold??n,24/01/1980,Colombia,5,-,-,51
Nawaf Shukralla,13/10/1976,Bahrain,7,-,-,18
Carlos Vera,25/06/1976,Ecuador,4,-,-,69
Howard Webb,14/07/1971,England,9,-,-,72
Bakary Gassama,10/2/1979,Gambia,2,-,-,87
Yuichi Nishimura,17/04/1972,Japan,4,-,-,120
Peter O'Leary,3/3/1972,New Zealand,2,-,-,168
