Match_ID,Date,Time,Team1_country,Team1_Score,Team2_country,Team2_Score,Team1_Shootout,Team2_Shootout
1,12-Jun,21:00,Brazil,3,Croatia,1,,
2,13-Jun,17:00,Mexico,1,Cameroon,0,,
3,13-Jun,20:00,Spain,1,Netherlands,5,,
4,13-Jun,23:00,Chile,3,Australia,1,,
5,14-Jun,17:00,Colombia,3,Greece,0,,
6,14-Jun,23:00,Ivory Coast,2,Japan,1,,
7,14-Jun,20:00,Uruguay,1,Costa Rica,3,,
8,15-Jun,2:00,England,1,Italy,2,,
9,15-Jun,17:00,Switzerland,2,Ecuador,1,,
10,15-Jun,20:00,France,3,Honduras,0,,
11,15-Jun,23:00,Argentina,2,Bosnia and Herzegovina,1,,
12,16-Jun,20:00,Iran,0,Nigeria,0,,
13,16-Jun,17:00,Germany,4,Portugal,0,,
14,16-Jun,23:00,Ghana,1,United States,2,,
15,17-Jun,17:00,Belgium,2,Algeria,1,,
16,17-Jun,23:00,Russia,1,Korea Republic,1,,
17,17-Jun,20:00,Brazil,0,Mexico,0,,
18,18-Jun,20:00,Cameroon,0,Croatia,4,,
19,18-Jun,23:00,Spain,0,Chile,2,,
20,18-Jun,17:00,Australia,2,Netherlands,3,,
21,19-Jun,17:00,Colombia,2,Ivory Coast,1,,
22,19-Jun,23:00,Japan,0,Greece,0,,
23,19-Jun,20:00,Uruguay,2,England,1,,
24,20-Jun,17:00,Italy,0,Costa Rica,1,,
25,20-Jun,20:00,Switzerland,2,France,5,,
26,20-Jun,23:00,Honduras,1,Ecuador,2,,
27,21-Jun,17:00,Argentina,1,Iran,0,,
28,21-Jun,23:00,Nigeria,1,Bosnia and Herzegovina,0,,
29,21-Jun,20:00,Germany,2,Ghana,2,,
30,22-Jun,20:00,United States,2,Portugal,2,,
31,22-Jun,23:00,Belgium,1,Russia,0,,
32,22-Jun,17:00,Korea Republic,2,Algeria,4,,
33,23-Jun,21:00,Cameroon,1,Brazil,4,,
34,23-Jun,21:00,Croatia,1,Mexico,3,,
35,23-Jun,17:00,Australia,0,Spain,3,,
36,23-Jun,17:00,Netherlands,2,Chile,0,,
37,24-Jun,21:00,Japan,1,Colombia,4,,
38,24-Jun,21:00,Greece,2,Ivory Coast,1,,
39,24-Jun,17:00,Italy,0,Uruguay,1,,
40,24-Jun,17:00,Costa Rica,0,England,0,,
41,25-Jun,21:00,Honduras,0,Switzerland,3,,
42,25-Jun,21:00,Ecuador,0,France,0,,
43,25-Jun,17:00,Nigeria,2,Argentina,3,,
44,25-Jun,17:00,Bosnia and Herzegovina,3,Iran,1,,
45,26-Jun,17:00,United States,0,Germany,1,,
46,26-Jun,17:00,Portugal,2,Ghana,1,,
47,26-Jun,21:00,Korea Republic,0,Belgium,1,,
48,26-Jun,21:00,Algeria,1,Russia,1,,
49,28-Jun,17:00,Brazil,1,Chile,1,3,2
50,28-Jun,21:00,Colombia,2,Uruguay,0,,
51,29-Jun,17:00,Netherlands,2,Mexico,1,,
52,29-Jun,21:00,Costa Rica,1,Greece,1,5,3
53,30-Jun,17:00,France,2,Nigeria,0,,
54,30-Jun,21:00,Germany,2,Algeria,1,,
55,1-Jul,17:00,Argentina,1,Switzerland,0,,
56,1-Jul,21:00,Belgium,2,United States,1,,
57,4-Jul,21:00,Brazil,2,Colombia,1,,
58,4-Jul,17:00,France,0,Germany,1,,
59,5-Jul,21:00,Netherlands,0,Costa Rica,0,4,3
60,5-Jul,17:00,Argentina,1,Belgium,0,,
61,8-Jul,21:00,Brazil,1,Germany,7,,
62,9-Jul,21:00,Netherlands,0,Argentina,0,2,4
63,12-Jul,21:00,Brazil,0,Netherlands,3,,
64,13-Jul,20:00,Germany,1,Argentina,0,,
