Name ,Born,Country,Yellow_Cards,Yellow_to_Red_Cards,Red_Cards
Jamel Haimoudi,10/12/1970,Algeria,1/12/1900,-,-
Ravshan Irmatov,9/8/1977,Uzbekistan,1/14/1900,-,1/1/1900
N?stor Pitana,17/06/1975,Argentina,1/8/1900,-,-
Nicola Rizzoli,5/10/1971,Italy,1/13/1900,-,-
C?neyt ?ak?r,23/11/1976,Turkey,1/12/1900,-,-
Jonas Eriksson,28/03/1974,Sweden,1/10/1900,-,-
Mark Geiger,25/08/1974,United States,-,-,-
Bj?rn Kuipers,28/03/1973,Netherlands,1/5/1900,-,-
Pedro Proen?a,3/11/1970,Portugal,1/6/1900,-,1/1/1900
Sandro Ricci,28/09/1970,Brazil,1/8/1900,1/1/1900,-
Marco Rodr?guez,10/11/1973,Mexico,1/7/1900,-,1/1/1900
Carlos Velasco Carballo,16/03/1971,Spain,1/8/1900,-,-
Ben Williams,14/04/1977,Australia,1/13/1900,1/1/1900,1/1/1900
Joel Aguilar,2/7/1975,El Salvador,1/5/1900,1/1/1900,-
Felix Brych,3/8/1975,Germany,1/6/1900,-,1/1/1900
Noumandiez Doue,29/09/1970,Ivory Coast,1/5/1900,-,1/1/1900
Milorad Ma?i?,23/03/1973,Serbia,1/3/1900,-,1/1/1900
Enrique Osses,26/05/1974,Chile,1/6/1900,-,-
Wilmar Rold?n,24/01/1980,Colombia,1/5/1900,-,-
Nawaf Shukralla,13/10/1976,Bahrain,1/7/1900,-,-
Carlos Velasco,25/06/1976,Ecuador,1/4/1900,-,-
Howard Webb,14/07/1971,England,1/9/1900,-,-
Bakary Gassama,10/2/1979,Gambia,1/2/1900,-,-
Yuichi Nishimura,17/04/1972,Japan,1/4/1900,-,-
Peter O'Leary,3/3/1972,New Zealand,1/2/1900,-,-
