Player_ID,Card,Mins,Match_ID
16,YC,88,1
9,YC,27,1
83,YC,57,2
2,YC,79,17
15,YC,45,17
28,RC,40,18
39,YC,80,33
40,YC,11,33
42,YC,76,33
52,YC,9,34
61,RC,89,34
161,YC,65,3
134,YC,86,4
95,YC,43,20
174,YC,41,19
97,YC,88,35
106,YC,90+2,35
142,YC,64,36
189,YC,26,5
234,YC,58,6
251,YC,54,6
269,YC,12,22
267,YC,16,37
360,RC,90+4,7
346,YC,50,7
366,YC,81,7
349,YC,56,7
317,YC,90+2,8
347,YC,9,23
330,YC,69,24
329,RC,59,39
323,YC,77,39
330,YC,22,39
278,YC,60,40
456,YC,84,9
393,YC,7,10
396,YC,45+2,10
409,YC,28,10
418,YC,7,26
424,YC,45+3,26
422,YC,66,41
370,YC,83,42
383,RC,50,42
475,YC,25,11
519,YC,75,12
538,YC,81,28
541,YC,51,43
550,YC,49,43
489,YC,78,44
591,YC,30,14
585,YC,90+2,14
633,YC,75,30
623,YC,37,45
635,YC,62,45
605,YC,90+4,46
671,YC,24,15
706,YC,49,16
668,YC,73,31
672,YC,54,31
724,YC,54,32
726,YC,69,32
732,YC,35,47
649,YC,39,48
652,YC,87,48
660,YC,90+2,48
1,YC,105+1,49
16,YC,60,49
6,YC,55,49
20,YC,93,49
190,YC,78,50
276,YC,90,52
281,YC,42,52
281,YC,66,52
281,RC,66,52
292,YC,48,52
285,YC,70,52
288,YC,57,52
404,YC,54,53
567,YC,107,54
461,YC,120+4,55
475,YC,90,55
466,YC,120,55
670,YC,42,56
11,YC,78,58
2,YC,64,58
465,YC,75,59
141,YC,64,60
156,YC,111,60
12,YC,68,61
141,YC,45,62
156,YC,105,62
2,YC,2,63
10,YC,68,63
4,YC,54,63
555,YC,34,64
558,YC,29,64
50,YC,65,1
51,YC,69,1
27,YC,77,2
90,YC,59,17
91,YC,62,17
67,YC,89,18
72,YC,39,34
91,YC,66,34
140,YC,41,3
145,YC,25,3
146,YC,66,3
106,YC,58,4
96,YC,67,4
95,YC,44,4
146,YC,47,20
116,YC,61,19
122,YC,26,19
175,YC,62,35
119,YC,25,36
225,YC,52,5
220,YC,55,5
274,YC,23,6
258,YC,64,6
234,YC,55,21
238,YC,90,21
221,YC,89,22
227,YC,27,22
227,YC,38,22
227,RC,38,22
213,YC,55,22
196,YC,63,37
249,YC,70,38
237,YC,62,38
240,YC,37,38
302,YC,68,23
297,YC,71,24
345,YC,90+1,39
361,YC,46,39
319,YC,53,40
318,YC,57,40
371,YC,53,9
432,YC,83,10
421,YC,28,10
421,YC,43,10
421,RC,43,10
427,YC,53,10
396,YC,88,25
383,YC,57,26
374,YC,80,26
380,YC,73,26
486,YC,63,11
511,YC,53,27
512,YC,73,27
500,YC,6,28
515,YC,88,44
618,YC,11,13
600,RC,37,13
585,YC,90+4,29
555,YC,11,45
597,YC,39,46
592,YC,55,46
587,YC,78,46
657,YC,34,15
728,YC,30,16
725,YC,90,16
721,YC,13,16
697,YC,38,31
645,YC,67,32
682,RC,45,47
685,YC,50,47
691,YC,59,48
712,YC,57,48
119,YC,40,49
116,YC,17,49
123,YC,102,49
357,YC,55,50
346,YC,77,50
72,YC,90+2,51
90,YC,69,51
86,YC,90+3,51
210,YC,72,52
228,YC,36,52
648,YC,42,54
446,YC,36,55
452,YC,73,55
640,YC,18,56
558,YC,80,57
557,YC,54,57
186,YC,71,58
193,YC,67,58
668,YC,69,59
676,YC,53,59
277,YC,107,60
278,YC,81,60
279,YC,52,60
474,YC,49,62
145,YC,36,63
148,YC,9,63
473,YC,64,64
479,YC,65,64
290,YC,37,60
